Orthogroup	Aggregate-gland	head	Duct	Sac	Tail	Major-ampullate-gland	Minor-ampullate-gland	Tubuliform-gland	wholebody	Aciniform-Pyriform-gland	Flagelliform-gland
OG0004616	16.5935672859273	12.464215596495642	23.62128786103788	9.286481169487017	29.305705011430856	19.103542849100453	27.14601356804011	26.38535108051848	22.01915393740156	34.70811009995237	32.245490789941904
OG0004617	17.121945946279006	27.69308578230119	11.044463248412018	6.868448353301406	5.3488326728653695	5.91849017125922	7.807438538823964	4.127080618332541	18.22949273518553	8.549010812282397	8.50796032383687
OG0004618	53.30462245400196	60.13174988603462	88.85167289993375	41.77946842710058	67.4225859301091	69.164570894239	84.014639595956	101.300083648691	50.49774816444724	103.174212928938	89.09843236645692
OG0004619	5.30766270127647	5.808139413557868	6.310703316789542	3.591634732954164	4.244322247640225	4.304670689801055	3.8407566777608486	4.602329735795606	14.624631766699864	14.587151454113041	6.809477864063263
OG0004620	41.81225347901763	50.646560189532295	51.01711299274514	24.30003919281027	20.389135689603524	21.17213806886594	24.458044400211328	14.289213214943592	39.747247469218834	48.82509525829608	29.864243769587077
OG0004621	16.29348400787781	19.947703512282317	21.989324786711308	13.72242267721512	12.275059641925154	12.175731602641989	17.70917644802977	11.969488526097887	21.93210417402021	21.377629291632942	17.094361439247482
OG0004622	0.5304334101846541	1.01539165354157	0.7090773083772101	1.1230681465224372	0.848743418217532	2.7827218158536215	5.644677289363535	3.9380714727541632	10.362032808326894	14.431419631132496	2.548225124739153
OG0004623	8.357738403018917	12.666803877235497	11.692433446788687	12.184328830041858	3.189663754504194	9.061901321078034	6.820720731777383	3.4401123085626075	7.266912471955064	8.106165883329856	15.733140236684012
OG0004624	1.2317779348652242	0.8740191589145357	1.077486577978669	0.6846375791972878	0.348232946645393	0.8205442309215399	0.7386235994353717	0.5010921244943807	2.137161226544465	1.9043127418135464	0.844138583039508
OG0004626	1.0234534318002264	1.130151173751073	1.7545938726210897	0.6073476580865126	0.5973200940278921	0.82615204975805	0.859677089027255	0.7710609552674023	0.908143260757124	1.2431517801705667	1.3485681948523494
OG0004627	43.68273740845077	34.94991740581846	29.982652925398742	12.85328628782311	6.439532178980578	14.039010551567738	15.417908353018769	9.620055134819369	14.782336576299482	21.26431477442504	19.39418882190295
OG0004628	3.9872733129504505	6.625766455936683	5.887497232986837	3.066722065487425	1.9711746112104915	3.448294760322219	3.335622206289183	3.0666756626296525	8.507755748250064	8.21200058700806	7.768926015605616
OG0004629	27.192933616166403	0.4760936679216438	594.3049993101959	250.53238130242144	1.2975543415114388	252.43519058971535	316.3858646714756	1.050394222103025	42.53302241198939	42.16355096776107	16.095989683900914
OG0004630	17.842450426448085	42.97866160400285	2.182696836112047	0.2232111660349074	4.017784615907811	0.5519744648922311	0.5430268605658117	1.433917078861343	23.75263839631292	1.0070925016116572	0.165317808144025
OG0004631	18.60386976373464	15.264133472397209	24.10888838929769	13.124951096318265	8.176575684155278	13.203291002161048	10.850023485518484	10.792345184424976	14.211244313624036	16.366478744495733	22.213460092183084
OG0004632	18.528952650741715	15.63116280289078	19.730026073833898	15.336440991290944	12.93039268015349	16.578665469113933	20.15644150190034	14.494409023730542	13.564512600775908	27.194648083339	36.98850650944807
OG0004633	300.19895012357983	185.97968108893832	340.98603735191466	180.72108398777155	163.2182157042389	177.634081750485	226.33908859028443	192.401935788542	182.8148780842152	262.3193753288338	317.29400715610467
OG0004634	28.898226704865028	23.19588183389613	36.50555145425526	30.354469069978947	27.702774993690863	31.19315014762833	40.79248462520018	26.515762471213577	29.9087041783415	35.04688809708124	77.54045739662801
OG0004635	6.533529780888921	8.943103214718265	8.70559267442255	8.175214528327698	3.107939710258437	7.4700307954889	6.815206209120288	4.528682775507705	8.68267042205974	11.893052429169945	13.483166673366435
OG0004636	57.09268637199646	148.12540176974215	55.98881150075815	61.38675276852166	38.2248308219186	66.77077783712409	49.69917680627147	57.20872755228263	45.21311362425437	68.46089007676922	114.6608227249846
OG0004637	11.968864761651272	12.27580303756007	10.126739080077131	7.21644815281515	5.723413826270381	6.668247355222325	6.074098546592499	7.285393593505998	13.427782471147824	17.895180386984315	10.39586993580604
