Orthogroup	Female-whole-body	Male-whole-body	Major-ampullate-gland	Minor-ampullate-gland	Tubuliform-gland	Flagelliform-gland	Aggregate-gland	Aciniform-Pyriform-gland	Hemolymph	Pedipalp	Leg	Epidermis	Venom-gland	Fat-body	Ovary	Duct	Sac	Tail
OG0000424	979.1642187289999	41.413323999999996	54.64550633	1.951097	0.531544334	1.272925	2.7263283329999997	1502.759690007	4.788333334	2217.854792663	1730.123223664	3837.737668	29.513155	1.1788386659999999	0.171600333	557.656666633	0.45999999999999996	0.493333334
OG0000425	154.737808334	19.262227333	7.263465332	22.443125669	1.1964873329999999	1.760748666	2.611083334	207.05624500099998	8.309023334	175.838197997	127.745304663	92.108373674	5.292232666	50.026436000000004	1.409003	12.133333333	70.769999998	1.083333334
OG0000426	1269.9783526669999	7.116504666	6.931326666	5.97617	10.118526	7.911758000000001	9.538082334	1435.04593867	51.691798663	757.81489397	922.05688433	8.545844666	13.294854334	1.918373667	8.379693333	48.13666666	12.763333334	9.933333333
OG0000427	55.23780533	28.730703339999998	30.74543134	27.40144266	34.66598966	27.023341000000002	19.552057997	51.429748000000004	96.53030134	60.63523266999999	53.880847	32.852557000000004	21.855761997	8.680959000000001	12.783160666	83.72333333	35.603333333	21.666666662999997
OG0000428	7.091626333	1.016561667	0.419542667	0.624112333	1.006774333	0.613414333	0.480418	3.232906333	346.7955933	9.603515333	7.176662667	2.878969	0.600321333	0.035457667	0.090160333	1.106666667	2.366666667	0.806666667
OG0000429	18.416128002999997	64.484857997	76.12616833700001	64.94208832999999	66.492693667	62.676865003	61.202912669999996	23.58002533	5.440948333	24.456157663	26.653072003	18.230576663	9.435205334	26.420993663	5.002128333	24.9	38.429999996999996	28.316666667
OG0000430	41.648448337000005	32.918737001000004	26.441068666999996	31.574428662000003	39.625537337	41.990794	22.467208998999997	30.925177669000004	248.19997229699996	57.476925337	38.247900333000004	19.009839330000002	14.778066	25.477907997000003	18.521596	23.07333333	7.149999999000001	7.1733333329999995
OG0000431	6.443456333	11.906364332999999	7.433759667	5.481409	26.172792	8.014005667	2.313274333	21.671257	27.71697066	25.910990999	9.770593334	25.636422000000003	7.205293334	68.363705667	6.4016906670000004	8.0	7.709999999999999	5.693333333
OG0000432	327.35846197	96.33553133000001	81.12443766300001	94.563962003	37.720297663000004	38.769632664	19.449395336000002	148.50784097	361.27486769999996	309.50044299999996	276.55705003	154.506173667	16.59805533	6.040705334	8.386485333	154.51	29.37333333	12.43
OG0000433	80.483881997	68.11045100000001	64.14455966999999	96.109065663	83.575197667	94.059687997	61.801719333	78.600702007	72.817522	75.556227993	70.821299333	54.428592333000005	68.01566734000001	27.272072996000002	27.68234834	28.036666663000002	11.953333333	14.236666667
